pincode,name,lat,lng,psu_branch_count,mpce_combined,hces_ppi,state,district
124107,124107,28.754285,76.63522,1.0,5664.0,21.9,HARYANA,JHAJJAR
124108,124108,28.43737,76.65048,2.0,5664.0,21.9,HARYANA,JHAJJAR
124109,124109,28.483575000000002,76.56708499999999,3.0,5664.0,21.9,HARYANA,JHAJJAR
124111,124111,28.94799,76.41317000000001,2.0,7036.0,30.7,HARYANA,ROHTAK
124112,124112,28.99595,76.29822,9.0,7036.0,30.7,HARYANA,ROHTAK
124113,124113,28.828445000000002,76.40433,8.0,7036.0,30.7,HARYANA,ROHTAK
124141,124141,28.479895,76.37711999999999,,7036.0,30.7,HARYANA,ROHTAK
124142,124142,28.477755000000002,76.342995,1.0,5664.0,21.9,HARYANA,REWARI
124146,124146,28.493405000000003,76.48078000000001,3.0,5664.0,21.9,HARYANA,JHAJJAR
124201,124201,28.709205,76.57715999999999,2.0,5664.0,21.9,HARYANA,JHAJJAR
124202,124202,28.709355000000002,76.47375,2.0,5664.0,21.9,HARYANA,JHAJJAR
124303,124303,29.006394999999998,76.64244,1.0,7036.0,30.7,HARYANA,ROHTAK
124401,124401,28.9101,76.733115,3.0,7036.0,30.7,HARYANA,ROHTAK
124404,124404,28.823465,76.85177,1.0,7036.0,30.7,HARYANA,ROHTAK
124406,124406,28.88766,76.796495,1.0,7036.0,30.7,HARYANA,ROHTAK
124411,124411,28.835105,76.48232999999999,2.0,7036.0,30.7,HARYANA,ROHTAK
124412,124412,28.768475000000002,76.50684000000001,1.0,7036.0,30.7,HARYANA,ROHTAK
124501,124501,28.768255,76.75346,10.0,7036.0,30.7,HARYANA,ROHTAK
124504,124504,28.660885,76.72417999999999,1.0,5664.0,21.9,HARYANA,JHAJJAR
124505,124505,28.753545,76.88750999999999,3.0,5664.0,21.9,HARYANA,JHAJJAR
124506,124506,28.70649,76.84086500000001,,5664.0,21.9,HARYANA,JHAJJAR
124507,124507,28.691,76.92652,29.0,5664.0,21.9,HARYANA,JHAJJAR
124508,124508,28.662875,76.86344500000001,,5664.0,21.9,HARYANA,JHAJJAR
124513,124513,29.015085,76.39924500000001,1.0,7036.0,30.7,HARYANA,ROHTAK
124514,124514,29.00356,76.510885,6.0,7036.0,30.7,HARYANA,ROHTAK
125001,125001,29.162275,75.736535,74.0,5403.0,20.2,HARYANA,HISAR
125004,125004,29.11508,75.548645,4.0,5403.0,20.2,HARYANA,HISAR
125005,125005,29.09905,75.82821000000001,9.0,5403.0,20.2,HARYANA,HISAR
125006,125006,29.075045000000003,75.81966499999999,5.0,5403.0,20.2,HARYANA,HISAR
125007,125007,29.047765,75.61905,2.0,5403.0,20.2,HARYANA,HISAR
125011,125011,29.209020000000002,75.671385,1.0,5403.0,20.2,HARYANA,HISAR
125033,125033,29.125995000000003,76.010345,23.0,5403.0,20.2,HARYANA,HANSI
125037,125037,28.976705,75.82877500000001,2.0,5403.0,20.2,HARYANA,HISAR
125038,125038,29.205475,76.245015,2.0,5403.0,20.2,HARYANA,HANSI
125039,125039,29.28887,76.106785,7.0,5403.0,20.2,HARYANA,HANSI
125042,125042,29.10335,76.20490000000001,2.0,5403.0,20.2,HARYANA,HANSI
125044,125044,29.111134999999997,75.83763,3.0,5403.0,20.2,HARYANA,HISAR
125047,125047,29.35942,75.67072,6.0,5403.0,20.2,HARYANA,HISAR
125048,125048,29.4096,75.555395,3.0,6077.0,24.6,HARYANA,FATEHABAD
125049,125049,29.19773,76.01129499999999,2.0,5403.0,20.2,HARYANA,HANSI
125050,125050,29.529395,75.431065,24.0,6077.0,24.6,HARYANA,FATEHABAD
125051,125051,29.683685,75.49879,17.0,6077.0,24.6,HARYANA,FATEHABAD
125052,125052,29.266415000000002,75.49132499999999,12.0,5403.0,20.2,HARYANA,HISAR
125053,125053,29.360970000000002,75.366445,4.0,6077.0,24.6,HARYANA,FATEHABAD
125054,125054,29.558909999999997,75.22209000000001,3.0,8258.0,38.6,HARYANA,SIRSA
125055,125055,29.48923,74.94349,47.0,8258.0,38.6,HARYANA,SIRSA
125056,125056,29.554415,75.06481,1.0,8258.0,38.6,HARYANA,SIRSA
125058,125058,29.48121,75.227435,2.0,8258.0,38.6,HARYANA,SIRSA
125060,125060,29.558754999999998,75.152965,3.0,8258.0,38.6,HARYANA,SIRSA
125075,125075,29.578665,74.690155,4.0,8258.0,38.6,HARYANA,SIRSA
125076,125076,29.57865,74.880795,6.0,8258.0,38.6,HARYANA,SIRSA
125077,125077,29.702370000000002,74.93556,4.0,8258.0,38.6,HARYANA,SIRSA
125078,125078,29.677135,75.08711,3.0,8258.0,38.6,HARYANA,SIRSA
125101,125101,29.7988,74.554145,1.0,8258.0,38.6,HARYANA,SIRSA
125102,125102,29.439835,74.683135,11.0,8258.0,38.6,HARYANA,SIRSA
125103,125103,29.72079,74.732905,4.0,8258.0,38.6,HARYANA,SIRSA
125104,125104,29.89654,74.732045,18.0,8258.0,38.6,HARYANA,SIRSA
125106,125106,29.67918,75.73520500000001,6.0,6077.0,24.6,HARYANA,FATEHABAD
125110,125110,29.353155,75.11628999999999,4.0,8258.0,38.6,HARYANA,SIRSA
125111,125111,29.5309,75.744995,6.0,6077.0,24.6,HARYANA,FATEHABAD
125112,125112,29.41759,75.753555,,5403.0,20.2,HARYANA,HISAR
125113,125113,29.492645000000003,75.899,5.0,5403.0,20.2,HARYANA,HISAR
125120,125120,29.651049999999998,75.86973,16.0,6077.0,24.6,HARYANA,FATEHABAD
125121,125121,29.350525,75.961485,11.0,5403.0,20.2,HARYANA,HISAR
125133,125133,29.77901,75.787555,2.0,6077.0,24.6,HARYANA,FATEHABAD
125201,125201,29.808790000000002,75.056115,11.0,8258.0,38.6,HARYANA,SIRSA
126101,126101,29.130915,76.40544,8.0,5437.0,20.4,HARYANA,JIND
126102,126102,29.309465,76.298025,38.0,5437.0,20.4,HARYANA,JIND
126110,126110,29.40168,76.45842,,5437.0,20.4,HARYANA,JIND
126111,126111,29.470444999999998,76.43852,2.0,5437.0,20.4,HARYANA,JIND
126112,126112,29.372745000000002,76.64578,14.0,5437.0,20.4,HARYANA,JIND
126113,126113,29.31118,76.49814,7.0,5437.0,20.4,HARYANA,JIND
126114,126114,29.226435000000002,76.385785,3.0,5437.0,20.4,HARYANA,JIND
126115,126115,29.481720000000003,76.18859499999999,12.0,5437.0,20.4,HARYANA,JIND
126116,126116,29.6622,76.10162,22.0,5437.0,20.4,HARYANA,JIND
126125,126125,29.47569,76.32503,2.0,5437.0,20.4,HARYANA,JIND
126152,126152,29.514495,76.028395,1.0,5437.0,20.4,HARYANA,JIND
127021,127021,28.8009,76.125075,30.0,8611.0,40.8,HARYANA,BHIWANI
127022,127022,28.483175,76.272975,,8611.0,40.8,HARYANA,BHIWANI
127025,127025,28.76088,76.35567499999999,,8611.0,40.8,HARYANA,BHIWANI
127026,127026,28.600315000000002,76.10704,,8611.0,40.8,HARYANA,BHIWANI
127027,127027,28.863335,76.245435,2.0,8611.0,40.8,HARYANA,BHIWANI
