postal_district,state,hces_district,match_method,score
Satara,MAHARASHTRA,SATARA,exact,1.0
Solapur,MAHARASHTRA,SOLAPUR,exact,1.0
Ahmed Nagar,MAHARASHTRA,AHMADNAGAR,fuzzy,0.857
Beed,MAHARASHTRA,,unmatched,0.0
Osmanabad,MAHARASHTRA,OSMANABAD,exact,1.0
Latur,MAHARASHTRA,LATUR,exact,1.0
Kolhapur,MAHARASHTRA,KOLHAPUR,exact,1.0
Ratnagiri,MAHARASHTRA,RATNAGIRI,exact,1.0
Sangli,MAHARASHTRA,SANGLI,exact,1.0
Sindhudurg,MAHARASHTRA,SINDHUDURG,exact,1.0
Nashik,MAHARASHTRA,NASHIK,exact,1.0
Aurangabad,MAHARASHTRA,AURANGABAD,exact,1.0
Dhule,MAHARASHTRA,DHULE,exact,1.0
Jalgaon,MAHARASHTRA,JALGAON,exact,1.0
Nandurbar,MAHARASHTRA,NANDURBAR,exact,1.0
Jalna,MAHARASHTRA,JALNA,exact,1.0
Parbhani,MAHARASHTRA,PARBHANI,exact,1.0
Hingoli,MAHARASHTRA,HINGOLI,exact,1.0
Nanded,MAHARASHTRA,NANDED,exact,1.0
Nagpur,MAHARASHTRA,NAGPUR,exact,1.0
Chandrapur,MAHARASHTRA,CHANDRAPUR,exact,1.0
Gadchiroli,MAHARASHTRA,GADCHIROLI,exact,1.0
Gondia,MAHARASHTRA,GONDIYA,fuzzy,0.923
Bhandara,MAHARASHTRA,BHANDARA,exact,1.0
Wardha,MAHARASHTRA,WARDHA,exact,1.0
Buldhana,MAHARASHTRA,BULDANA,fuzzy,0.933
Akola,MAHARASHTRA,AKOLA,exact,1.0
Washim,MAHARASHTRA,WASHIM,exact,1.0
Amravati,MAHARASHTRA,AMRAVATI,exact,1.0
Yavatmal,MAHARASHTRA,YAVATMAL,exact,1.0
East Nimar,MADHYA PRADESH,EAST NIMAR,exact,1.0
Khandwa,MADHYA PRADESH,,unmatched,0.0
West Nimar,MADHYA PRADESH,WEST NIMAR,exact,1.0
Barwani,MADHYA PRADESH,BARWANI,exact,1.0
Indore,MADHYA PRADESH,INDORE,exact,1.0
Dhar,MADHYA PRADESH,DHAR,exact,1.0
Dewas,MADHYA PRADESH,DEWAS,exact,1.0
Ujjain,MADHYA PRADESH,UJJAIN,exact,1.0
Ratlam,MADHYA PRADESH,RATLAM,exact,1.0
Jhabua,MADHYA PRADESH,JHABUA,exact,1.0
Mandsaur,MADHYA PRADESH,MANDSAUR,exact,1.0
Neemuch,MADHYA PRADESH,NEEMUCH,exact,1.0
Betul,MADHYA PRADESH,BETUL,exact,1.0
Hoshangabad,MADHYA PRADESH,HOSHANGABAD,exact,1.0
Harda,MADHYA PRADESH,HARDA,exact,1.0
Bhopal,MADHYA PRADESH,BHOPAL,exact,1.0
Vidisha,MADHYA PRADESH,VIDISHA,exact,1.0
Raisen,MADHYA PRADESH,RAISEN,exact,1.0
Shajapur,MADHYA PRADESH,SHAJAPUR,exact,1.0
Rajgarh,MADHYA PRADESH,RAJGARH,exact,1.0
Sehore,MADHYA PRADESH,SEHORE,exact,1.0
Sagar,MADHYA PRADESH,SAGAR,exact,1.0
Damoh,MADHYA PRADESH,DAMOH,exact,1.0
Chhatarpur,MADHYA PRADESH,CHHATARPUR,exact,1.0
Tikamgarh,MADHYA PRADESH,TIKAMGARH,exact,1.0
Guna,MADHYA PRADESH,GUNA,exact,1.0
Ashok Nagar,MADHYA PRADESH,ASHOKNAGAR,fuzzy,0.952
Shivpuri,MADHYA PRADESH,SHIVPURI,exact,1.0
Gwalior,MADHYA PRADESH,GWALIOR,exact,1.0
Datia,MADHYA PRADESH,DATIA,exact,1.0
Morena,MADHYA PRADESH,MORENA,exact,1.0
Sheopur,MADHYA PRADESH,SHEOPUR,exact,1.0
Bhind,MADHYA PRADESH,BHIND,exact,1.0
Chhindwara,MADHYA PRADESH,CHHINDWARA,exact,1.0
Seoni,MADHYA PRADESH,SEONI,exact,1.0
Balaghat,MADHYA PRADESH,BALAGHAT,exact,1.0
Mandla,MADHYA PRADESH,MANDLA,exact,1.0
Dindori,MADHYA PRADESH,DINDORI,exact,1.0
Jabalpur,MADHYA PRADESH,JABALPUR,exact,1.0
Katni,MADHYA PRADESH,KATNI,exact,1.0
Shahdol,MADHYA PRADESH,SHAHDOL,exact,1.0
Anuppur,MADHYA PRADESH,ANUPPUR,exact,1.0
Umaria,MADHYA PRADESH,UMARIA,exact,1.0
Satna,MADHYA PRADESH,SATNA,exact,1.0
Rewa,MADHYA PRADESH,REWA,exact,1.0
Sidhi,MADHYA PRADESH,SIDHI,exact,1.0
Singrauli,MADHYA PRADESH,SINGRAULI,exact,1.0
Narsinghpur,MADHYA PRADESH,NARSIMHAPUR,verified_manual,0.818
Panna,MADHYA PRADESH,PANNA,exact,1.0
Durg,CHHATTISGARH,DURG,exact,1.0
Rajnandgaon,CHHATTISGARH,RAJNANDGAON,exact,1.0
Kawardha,CHHATTISGARH,,unmatched,0.0
Raipur,CHHATTISGARH,RAIPUR,exact,1.0
Mahasamund,CHHATTISGARH,MAHASAMUND,exact,1.0
Dhamtari,CHHATTISGARH,DHAMTARI,exact,1.0
Gariaband,CHHATTISGARH,,unmatched,0.0
Bastar,CHHATTISGARH,BASTAR,exact,1.0
Dantewada,CHHATTISGARH,,unmatched,0.0
Kanker,CHHATTISGARH,,unmatched,0.0
Bijapur(CGH),CHHATTISGARH,,unmatched,0.0
Narayanpur,CHHATTISGARH,NARAYANPUR,exact,1.0
Bilaspur(CGH),CHHATTISGARH,BILASPUR,verified_manual,0.8
Korba,CHHATTISGARH,KORBA,exact,1.0
Janjgir-champa,CHHATTISGARH,JANJGIR - CHAMPA,exact,1.0
Raigarh,CHHATTISGARH,RAIGARH,exact,1.0
Jashpur,CHHATTISGARH,JASHPUR,exact,1.0
Surguja,CHHATTISGARH,SURGUJA,exact,1.0
Koriya,CHHATTISGARH,KORIYA,exact,1.0
Hyderabad,TELANGANA,HYDERABAD DISTRICT,exact,1.0
K.V.Rangareddy,TELANGANA,RANGAREDDY,fuzzy,0.833
Medak,TELANGANA,MEDAK,exact,1.0
Nizamabad,TELANGANA,NIZAMABAD,exact,1.0
Adilabad,TELANGANA,ADILABAD,exact,1.0
Karim Nagar,TELANGANA,KARIMNAGAR,fuzzy,0.952
Warangal,TELANGANA,WARANGAL,exact,1.0
Khammam,TELANGANA,KHAMMAM,exact,1.0
East Godavari,ANDHRA PRADESH,EAST GODAVARI,exact,1.0
Nalgonda,TELANGANA,NALGONDA,exact,1.0
Mahabub Nagar,TELANGANA,MAHABUBNAGAR,fuzzy,0.96
Ananthapur,ANDHRA PRADESH,ANANTHAPUR,exact,1.0
Cuddapah,ANDHRA PRADESH,,unmatched,0.0
Chittoor,ANDHRA PRADESH,CHITTOOR,exact,1.0
Kurnool,ANDHRA PRADESH,KURNOOL,exact,1.0
Krishna,ANDHRA PRADESH,KRISHNA,exact,1.0
Guntur,ANDHRA PRADESH,GUNTUR,exact,1.0
Prakasam,ANDHRA PRADESH,PRAKASAM,exact,1.0
Nellore,ANDHRA PRADESH,NELLORE,exact,1.0
Visakhapatnam,ANDHRA PRADESH,VISAKHAPATNAM,exact,1.0
Srikakulam,ANDHRA PRADESH,SRIKAKULAM,exact,1.0
West Godavari,ANDHRA PRADESH,WEST GODAVARI,exact,1.0
Vizianagaram,ANDHRA PRADESH,VIZIANAGARAM,exact,1.0
Bangalore,KARNATAKA,BANGALORE,exact,1.0
Bangalore Rural,KARNATAKA,BANGALORE RURAL,exact,1.0
Ramanagar,KARNATAKA,RAMANAGARA,fuzzy,0.947
Tumkur,KARNATAKA,TUMKUR,exact,1.0
Chikkaballapur,KARNATAKA,CHIKKABALLAPURA,fuzzy,0.966
Kolar,KARNATAKA,KOLAR,exact,1.0
Mysore,KARNATAKA,MYSORE,exact,1.0
Chamrajnagar,KARNATAKA,CHAMARAJANAGAR,fuzzy,0.923
Kodagu,KARNATAKA,KODAGU,exact,1.0
Mandya,KARNATAKA,MANDYA,exact,1.0
Hassan,KARNATAKA,HASSAN,exact,1.0
Udupi,KARNATAKA,UDUPI,exact,1.0
Dakshina Kannada,KARNATAKA,DAKSHINA KANNADA,exact,1.0
Davangere,KARNATAKA,DAVANAGERE,fuzzy,0.947
Chickmagalur,KARNATAKA,CHIKMAGALUR,fuzzy,0.957
Shimoga,KARNATAKA,SHIMOGA,exact,1.0
Chitradurga,KARNATAKA,CHITRADURGA,exact,1.0
Dharwad,KARNATAKA,DHARWAD,exact,1.0
Haveri,KARNATAKA,HAVERI,exact,1.0
Uttara Kannada,KARNATAKA,UTTARA KANNADA,exact,1.0
Gadag,KARNATAKA,GADAG,exact,1.0
Bellary,KARNATAKA,BELLARY,exact,1.0
Koppal,KARNATAKA,KOPPAL,exact,1.0
Raichur,KARNATAKA,RAICHUR,exact,1.0
Gulbarga,KARNATAKA,GULBARGA,exact,1.0
Yadgir,KARNATAKA,YADGIR,exact,1.0
Bidar,KARNATAKA,BIDAR,exact,1.0
Bijapur(KAR),KARNATAKA,BIJAPUR,verified_manual,0.778
Bagalkot,KARNATAKA,BAGALKOT,exact,1.0
Belgaum,KARNATAKA,BELGAUM,exact,1.0
Chennai,TAMIL NADU,CHENNAI,exact,1.0
Kanchipuram,TAMIL NADU,KANCHEEPURAM,fuzzy,0.87
Tiruvallur,TAMIL NADU,THIRUVALLUR,fuzzy,0.952
Villupuram,TAMIL NADU,VILUPPURAM,fuzzy,0.9
Tiruvannamalai,TAMIL NADU,TIRUVANNAMALAI,exact,1.0
Pondicherry,PUDUCHERRY,,unmatched,0.0
Cuddalore,TAMIL NADU,CUDDALORE,exact,1.0
Cuddalore,PUDUCHERRY,,unmatched,0.0
Ariyalur,TAMIL NADU,ARIYALUR,exact,1.0
Nagapattinam,TAMIL NADU,NAGAPATTINAM,exact,1.0
Tiruvarur,TAMIL NADU,THIRUVARUR,fuzzy,0.947
Karaikal,PUDUCHERRY,KARAIKAL,exact,1.0
Thanjavur,TAMIL NADU,THANJAVUR,exact,1.0
Pudukkottai,TAMIL NADU,PUDUKKOTTAI,exact,1.0
Tiruchirappalli,TAMIL NADU,TIRUCHIRAPPALLI,exact,1.0
Perambalur,TAMIL NADU,PERAMBALUR,exact,1.0
Karur,TAMIL NADU,KARUR,exact,1.0
Ramanathapuram,TAMIL NADU,RAMANATHAPURAM,exact,1.0
Dindigul,TAMIL NADU,DINDIGUL,exact,1.0
Madurai,TAMIL NADU,MADURAI,exact,1.0
Theni,TAMIL NADU,THENI,exact,1.0
Virudhunagar,TAMIL NADU,VIRUDHUNAGAR,exact,1.0
Tirunelveli,TAMIL NADU,TIRUNELVELI,exact,1.0
Tuticorin,TAMIL NADU,,unmatched,0.0
Kanyakumari,TAMIL NADU,KANNIYAKUMARI,fuzzy,0.917
Sivaganga,TAMIL NADU,SIVAGANGA,exact,1.0
Vellore,TAMIL NADU,VELLORE,exact,1.0
Krishnagiri,TAMIL NADU,KRISHNAGIRI,exact,1.0
Dharmapuri,TAMIL NADU,DHARMAPURI,exact,1.0
Salem,TAMIL NADU,SALEM,exact,1.0
Namakkal,TAMIL NADU,NAMAKKAL,exact,1.0
Erode,TAMIL NADU,ERODE,exact,1.0
Coimbatore,TAMIL NADU,COIMBATORE,exact,1.0
Nilgiris,TAMIL NADU,THE NILGIRIS,verified_manual,0.8
Kannur,KERALA,KANNUR,exact,1.0
Wayanad,KERALA,WAYANAD,exact,1.0
Kasargod,KERALA,KASARAGOD,fuzzy,0.941
Kozhikode,KERALA,KOZHIKODE,exact,1.0
Mahe,PUDUCHERRY,,unmatched,0.0
Malappuram,KERALA,MALAPPURAM,exact,1.0
Palakkad,KERALA,PALAKKAD,exact,1.0
Thrissur,KERALA,THRISSUR,exact,1.0
Ernakulam,KERALA,ERNAKULAM,exact,1.0
Lakshadweep,LAKSHADWEEP,LAKSHADWEEP,exact,1.0
Idukki,KERALA,IDUKKI,exact,1.0
Kottayam,KERALA,KOTTAYAM,exact,1.0
Pathanamthitta,KERALA,PATHANAMTHITTA,exact,1.0
Alappuzha,KERALA,ALAPPUZHA,exact,1.0
Kollam,KERALA,KOLLAM,exact,1.0
Thiruvananthapuram,KERALA,THIRUVANANTHAPURAM,exact,1.0
Kolkata,WEST BENGAL,KOLKATA,exact,1.0
South 24 Parganas,WEST BENGAL,,unmatched,0.0
North 24 Parganas,WEST BENGAL,,unmatched,0.0
Howrah,WEST BENGAL,HAORA,verified_manual,0.727
Hooghly,WEST BENGAL,,unmatched,0.0
Bardhaman,WEST BENGAL,BARDDHAMAN,fuzzy,0.947
Bankura,WEST BENGAL,BANKURA,exact,1.0
West Midnapore,WEST BENGAL,,unmatched,0.0
East Midnapore,WEST BENGAL,,unmatched,0.0
Puruliya,WEST BENGAL,PURULIYA,exact,1.0
Birbhum,WEST BENGAL,BIRBHUM,exact,1.0
Malda,WEST BENGAL,MALDAH,fuzzy,0.909
South Dinajpur,WEST BENGAL,DAKSHIN DINAJPUR,verified_manual,1.0
North Dinajpur,WEST BENGAL,,unmatched,0.0
Darjiling,WEST BENGAL,DARJILING,exact,1.0
Jalpaiguri,WEST BENGAL,JALPAIGURI,exact,1.0
Cooch Behar,WEST BENGAL,,unmatched,0.0
East Sikkim,SIKKIM,EAST DISTRICT,exact,1.0
West Sikkim,SIKKIM,WEST DISTRICT,exact,1.0
North Sikkim,SIKKIM,NORTH DISTRICT,exact,1.0
South Sikkim,SIKKIM,SOUTH DISTRICT,exact,1.0
Nadia,WEST BENGAL,NADIA,exact,1.0
Murshidabad,WEST BENGAL,MURSHIDABAD,exact,1.0
South Andaman,ANDAMAN & NICOBAR ISLANDS,,no_hces_state,0.0
North And Middle Andaman,ANDAMAN & NICOBAR ISLANDS,,no_hces_state,0.0
Nicobar,ANDAMAN & NICOBAR ISLANDS,,no_hces_state,0.0
Khorda,ODISHA,KHORDHA,fuzzy,0.923
Puri,ODISHA,PURI,exact,1.0
Nayagarh,ODISHA,NAYAGARH,exact,1.0
Cuttack,ODISHA,CUTTACK,exact,1.0
Jajapur,ODISHA,JAJAPUR,exact,1.0
