pincode,district,state_name,state_code
744201,North And Middle Andaman,Andaman & Nicobar Islands,AN
744202,North And Middle Andaman,Andaman & Nicobar Islands,AN
744203,North And Middle Andaman,Andaman & Nicobar Islands,AN
744204,North And Middle Andaman,Andaman & Nicobar Islands,AN
744205,North And Middle Andaman,Andaman & Nicobar Islands,AN
744206,South Andaman,Andaman & Nicobar Islands,AN
744207,South Andaman,Andaman & Nicobar Islands,AN
744209,North And Middle Andaman,Andaman & Nicobar Islands,AN
744210,North And Middle Andaman,Andaman & Nicobar Islands,AN
744211,South Andaman,Andaman & Nicobar Islands,AN
744301,Nicobar,Andaman & Nicobar Islands,AN
744302,Nicobar,Andaman & Nicobar Islands,AN
744303,Nicobar,Andaman & Nicobar Islands,AN
744304,Nicobar,Andaman & Nicobar Islands,AN
751001,Khorda,Odisha,OD
751002,Khorda,Odisha,OD
751003,Khorda,Odisha,OD
751004,Khorda,Odisha,OD
751005,Khorda,Odisha,OD
751006,Khorda,Odisha,OD
751007,Khorda,Odisha,OD
751008,Khorda,Odisha,OD
751009,Khorda,Odisha,OD
751010,Khorda,Odisha,OD
751011,Khorda,Odisha,OD
751012,Khorda,Odisha,OD
751013,Khorda,Odisha,OD
751014,Khorda,Odisha,OD
751015,Khorda,Odisha,OD
751016,Khorda,Odisha,OD
751017,Khorda,Odisha,OD
751018,Khorda,Odisha,OD
751019,Khorda,Odisha,OD
751020,Khorda,Odisha,OD
751021,Khorda,Odisha,OD
751022,Khorda,Odisha,OD
751023,Khorda,Odisha,OD
751024,Khorda,Odisha,OD
751025,Khorda,Odisha,OD
751030,Khorda,Odisha,OD
752001,Puri,Odisha,OD
752002,Puri,Odisha,OD
752003,Puri,Odisha,OD
752011,Puri,Odisha,OD
752012,Puri,Odisha,OD
752013,Puri,Odisha,OD
752014,Puri,Odisha,OD
752015,Puri,Odisha,OD
752016,Puri,Odisha,OD
752017,Puri,Odisha,OD
752018,Khorda,Odisha,OD
752019,Khorda,Odisha,OD
752020,Khorda,Odisha,OD
752021,Khorda,Odisha,OD
752022,Khorda,Odisha,OD
752023,Khorda,Odisha,OD
752024,Nayagarh,Odisha,OD
752025,Nayagarh,Odisha,OD
752026,Nayagarh,Odisha,OD
752027,Khorda,Odisha,OD
752030,Khorda,Odisha,OD
752031,Khorda,Odisha,OD
752034,Khorda,Odisha,OD
752035,Khorda,Odisha,OD
752037,Khorda,Odisha,OD
752038,Khorda,Odisha,OD
752045,Puri,Odisha,OD
752046,Puri,Odisha,OD
752050,Khorda,Odisha,OD
752054,Khorda,Odisha,OD
752055,Khorda,Odisha,OD
752056,Khorda,Odisha,OD
752057,Khorda,Odisha,OD
752060,Khorda,Odisha,OD
752061,Khorda,Odisha,OD
752062,Khorda,Odisha,OD
752063,Nayagarh,Odisha,OD
752064,Khorda,Odisha,OD
752065,Nayagarh,Odisha,OD
752066,Khorda,Odisha,OD
752068,Nayagarh,Odisha,OD
752069,Nayagarh,Odisha,OD
752070,Nayagarh,Odisha,OD
752077,Nayagarh,Odisha,OD
752078,Nayagarh,Odisha,OD
752079,Nayagarh,Odisha,OD
752080,Nayagarh,Odisha,OD
752081,Nayagarh,Odisha,OD
752082,Nayagarh,Odisha,OD
752083,Nayagarh,Odisha,OD
752084,Nayagarh,Odisha,OD
752085,Nayagarh,Odisha,OD
752089,Nayagarh,Odisha,OD
752090,Nayagarh,Odisha,OD
752091,Nayagarh,Odisha,OD
752092,Nayagarh,Odisha,OD
752093,Nayagarh,Odisha,OD
752094,Nayagarh,Odisha,OD
752100,Khorda,Odisha,OD
752101,Khorda,Odisha,OD
752102,Khorda,Odisha,OD
752103,Khorda,Odisha,OD
752104,Puri,Odisha,OD
752105,Puri,Odisha,OD
752106,Puri,Odisha,OD
752107,Puri,Odisha,OD
752108,Puri,Odisha,OD
752109,Puri,Odisha,OD
752110,Puri,Odisha,OD
752111,Puri,Odisha,OD
752113,Puri,Odisha,OD
752114,Puri,Odisha,OD
752115,Khorda,Odisha,OD
752116,Puri,Odisha,OD
752118,Puri,Odisha,OD
752119,Puri,Odisha,OD
752120,Puri,Odisha,OD
752121,Puri,Odisha,OD
753001,Cuttack,Odisha,OD
753002,Cuttack,Odisha,OD
753003,Cuttack,Odisha,OD
753004,Cuttack,Odisha,OD
753006,Cuttack,Odisha,OD
753007,Cuttack,Odisha,OD
753008,Cuttack,Odisha,OD
753009,Cuttack,Odisha,OD
753010,Cuttack,Odisha,OD
753011,Cuttack,Odisha,OD
753012,Cuttack,Odisha,OD
753013,Cuttack,Odisha,OD
753014,Cuttack,Odisha,OD
753015,Cuttack,Odisha,OD
754001,Cuttack,Odisha,OD
754002,Cuttack,Odisha,OD
754003,Cuttack,Odisha,OD
754004,Cuttack,Odisha,OD
754005,Cuttack,Odisha,OD
754006,Cuttack,Odisha,OD
754007,Cuttack,Odisha,OD
754008,Cuttack,Odisha,OD
754009,Cuttack,Odisha,OD
754010,Cuttack,Odisha,OD
754011,Cuttack,Odisha,OD
754012,Khorda,Odisha,OD
754013,Cuttack,Odisha,OD
754018,Cuttack,Odisha,OD
754021,Cuttack,Odisha,OD
754022,Cuttack,Odisha,OD
754023,Jajapur,Odisha,OD
754024,Jajapur,Odisha,OD
754025,Cuttack,Odisha,OD
754026,Cuttack,Odisha,OD
754027,Cuttack,Odisha,OD
754028,Cuttack,Odisha,OD
754029,Cuttack,Odisha,OD
754030,Cuttack,Odisha,OD
