pincode,lat,lng
152026,30.4655896,74.5209526
D794663,25.470994,74.6961316
580020,15.3707296,75.1332867
140118,31.0917102,76.5289701
563126,13.1805066,78.2669329
534350,16.9956639,81.7154378
734431,26.75,88.25
573118,13.0301852,76.1744968
D363985,18.169844,76.1179632
506331,17.8675814,79.801947
325203,25.196683,76.0009687
D470467,23.4839759,77.3928507
451440,21.833333,75.5
D726977,29.0414186,76.922715
D846953,28.2047781,74.6912996
D552582,30.135717,75.8533326
D140377,30.0606702,76.7631053
576124,13.5269784,74.8731879
D272288,27.0264162,70.777512
140407,30.6634042,76.3803
142023,29.3472909,76.8871622
151209,30.6014507,74.7950176
507167,17.1729189,80.4057537
D838687,17.2826079,73.4569787
226001,26.8312463,80.9174154
795113,24.7590802,93.8617365
797102,25.6700924,94.3843925
151503,29.8764133,75.4889564
799273,23.8253158,91.9732227
791104,28.0742219,95.4178149
D848859,9.4926289,77.8631831
D436336,20.4321957,73.1409893
D649886,14.3049174,76.5296667
D997922,18.3553347,76.7548997
586127,16.814415,75.8933856
D782262,18.2760018,83.4662692
D501306,14.7253795,74.6403389
628001,8.8003404,78.1333006
D823806,29.7255766,76.9106924
D832430,24.0921476,92.2451214
D525821,18.622438,84.1443764
416314,17.1726928,74.5867654
D447102,30.1264975,80.4816989
D871865,14.5395752,78.6582332
D609641,26.242251,94.1921153
572128,13.4999406,77.0002445
190001,34.1178785,74.9659189
D582880,10.8217671,78.3828654
571201,12.3827332,75.6640715
D853564,22.32997,70.1327524
792123,27.2698797,96.0602442
D213047,22.2071897,78.798833
636700,12.1456131,78.1132217
263654,29.702651,79.4326318
332041,27.6624156,75.0279971
562159,12.730859,77.2890624
D877003,30.9993627,74.5484257
505469,18.4075996,79.2182933
392140,21.8357373,72.8820876
621804,11.1530559,79.2585797
604302,12.1166967,79.5989236
798625,26.5839315,94.8045481
D850617,26.0123803,94.5123719
524311,14.557001,79.7234781
785634,26.6500766,94.2700644
613904,10.659037,79.2014278
670721,11.7151291,76.1271185
D965985,29.5359209,75.5752901
416603,16.1357193,73.6522086
370427,23.1010821,69.6099056
614712,10.6026203,79.7619348
630556,9.8671821,78.550483
143415,31.3212453,74.8416687
263145,29.0478314,79.4326164
313702,24.453502,73.4070437
208012,26.4410107,80.2652803
D483105,22.2427973,77.1179173
383315,23.5,73.25
173023,30.6991321,77.4465304
D629957,33.6250187,74.6949458
305600,26.3318872,74.7169752
362260,21.3364779,70.4250428
518465,15.5478804,77.554259
D966900,20.2254559,74.104233
785600,26.993972,94.6203887
786001,27.400599,94.9950865
D248418,25.529855,78.6527802
486896,24.2431343,82.3827672
D710636,20.8256231,78.6131455
D656917,21.5656705,71.9077622
431002,19.8717769,75.321076
D808830,21.2809089,81.8164073
834010,23.3007039,85.3738838
D754715,30.2092778,76.3397231
D888359,33.2059909,74.8626794
D629821,27.0246959,77.2920116
792130,27.030169,95.4979175
D794573,32.5825837,75.6104797
D254856,26.0287495,78.1570654
614101,10.6878621,79.4979437
D566928,21.334867,76.3708803
303506,26.8048659,76.4437457
396375,20.829714,73.0332342
124104,28.5964461,76.6505366
335803,29.5,74.0
D433744,28.1553856,96.8407212
184121,32.5759118,75.1203446
425116,20.8428827,75.5261246
795010,24.8326698,94.0168859
D427457,30.4985956,79.6190537
D344010,15.5748238,76.3118494
786153,27.5971709,95.5668529
D770954,19.7590704,80.1622807
577544,14.2558835,75.8303421
D445699,29.3659533,74.298429
D890490,20.3700655,85.4697256
D902798,12.4289282,78.99915
D958583,32.6923316,76.1631552
281406,27.633333,77.583333
D884563,29.235032,80.1023068
D817915,25.166667,72.25
414001,19.074352,74.7219979
D340635,24.25,72.5
D717069,31.8778325,77.4495659
500023,17.385699001729336,78.46246719360353
126125,29.4494987,76.3736217
247001,29.9856799,77.5040646
D634761,29.2396596,75.8174505
284303,25.69457380962044,78.94077633439716
476221,26.344099789955827,77.83813476562501
284306,25.78999956287362,79.04663085937501
284302,25.726296249253213,79.11738128913815
285201,25.90261217548624,79.2632589243779
323601,25.308399264926447,75.931025434249
324001,25.15460586121595,75.86059570312501
325001,25.18099263768563,75.931025434249
323301,25.35730856391865,76.07624183309399
323600,25.24469595130604,75.96019838407484
124106,28.556536442585504,76.52213710694525
201102,28.788641512986167,77.30581283569337
250101,28.862793314553063,77.23937988281251
121005,28.41234286410261,77.23937988281251
500081,17.4401,78.3489
121009,28.49192790988262,77.31079101562501
110045,28.60454052249523,77.08886105243033
110065,28.58094828362955,77.25173950195314
110041,28.693560896242165,77.02914354701153
321023,27.72486719795934,77.21481176508378
321204,27.661163884338933,77.04107156017042
334001,27.94588622176197,73.34472656250001
321024,27.63477710786925,77.11303710937501
334005,28.00958953538238,73.27261427855751
122508,27.950092423184568,77.11303710937501
334401,27.914011740278564,73.27606201171876
334402,27.88218290814156,73.27261427855751
334004,28.094191920458744,73.27606201171876
560057,13.0460477,77.5131117
110047,28.45805607562956,77.16191808339161
110035,28.683281300854784,77.16191808339161
412105,18.697261205630664,73.91195974099524
412307,18.51994680349436,74.00226575260659
411025,18.4245859996766,73.75945888889335
410005,18.61536080368649,73.75934668499661
412110,18.633557892010256,73.88411329370022
412308,18.4245859996766,73.96054111110665
410505,18.858783117235483,73.97918701171876
411072,18.520945279397644,73.77334637412804
