pincode,upi_txn_count_nearby,quarter_label
146114,307979,2026 Q2
146115,241547,2026 Q2
146116,239633,2026 Q2
147001,2545142,2026 Q2
147002,1647383,2026 Q2
147003,2102587,2026 Q2
147004,783917,2026 Q2
147005,1047837,2026 Q2
147006,755276,2026 Q2
147007,1073557,2026 Q2
147021,984328,2026 Q2
147101,275196,2026 Q2
147102,199025,2026 Q2
147103,983485,2026 Q2
147104,322403,2026 Q2
147105,236852,2026 Q2
147111,118349,2026 Q2
147201,356377,2026 Q2
147202,205558,2026 Q2
147203,381833,2026 Q2
147301,1112767,2026 Q2
148001,627312,2026 Q2
148002,371423,2026 Q2
148017,188031,2026 Q2
148018,183108,2026 Q2
148019,320290,2026 Q2
148020,236313,2026 Q2
148021,281714,2026 Q2
148022,200668,2026 Q2
148023,313594,2026 Q2
148024,166899,2026 Q2
148025,165480,2026 Q2
148026,176475,2026 Q2
148027,230465,2026 Q2
148028,108702,2026 Q2
148029,109212,2026 Q2
148030,83884,2026 Q2
148031,98200,2026 Q2
148033,173329,2026 Q2
148034,358594,2026 Q2
148035,110523,2026 Q2
148100,81194,2026 Q2
148101,376836,2026 Q2
148102,109576,2026 Q2
148103,122413,2026 Q2
148104,145476,2026 Q2
148105,154325,2026 Q2
148106,175513,2026 Q2
148107,318287,2026 Q2
148108,167085,2026 Q2
148109,284139,2026 Q2
151001,1485892,2026 Q2
151002,1531644,2026 Q2
151003,1926010,2026 Q2
151004,1086297,2026 Q2
151005,940216,2026 Q2
151007,485041,2026 Q2
151101,656444,2026 Q2
151102,269819,2026 Q2
151103,171527,2026 Q2
151104,122430,2026 Q2
151105,182148,2026 Q2
151106,102454,2026 Q2
151108,99997,2026 Q2
151111,321770,2026 Q2
151201,621604,2026 Q2
151202,90318,2026 Q2
151203,1184451,2026 Q2
151204,198772,2026 Q2
151205,135331,2026 Q2
151206,115349,2026 Q2
151207,132641,2026 Q2
151208,85136,2026 Q2
151209,329204,2026 Q2
151210,86760,2026 Q2
151211,201282,2026 Q2
151212,76320,2026 Q2
151213,575121,2026 Q2
151214,199965,2026 Q2
151301,300449,2026 Q2
151302,132801,2026 Q2
151401,203305,2026 Q2
151501,83283,2026 Q2
151502,173848,2026 Q2
151503,113711,2026 Q2
151504,91960,2026 Q2
151505,138812,2026 Q2
151506,83053,2026 Q2
151507,193817,2026 Q2
151508,188772,2026 Q2
151509,154240,2026 Q2
151510,95259,2026 Q2
151511,353709,2026 Q2
152001,1138912,2026 Q2
152002,559730,2026 Q2
152003,385013,2026 Q2
152004,768280,2026 Q2
152005,302484,2026 Q2
152020,209628,2026 Q2
152021,129271,2026 Q2
152022,183878,2026 Q2
152023,113148,2026 Q2
152024,465475,2026 Q2
152025,146399,2026 Q2
152026,106647,2026 Q2
152028,174924,2026 Q2
152031,154968,2026 Q2
152032,101649,2026 Q2
152033,113204,2026 Q2
152101,194381,2026 Q2
152107,237853,2026 Q2
152112,112887,2026 Q2
152113,152598,2026 Q2
152114,126754,2026 Q2
152115,115219,2026 Q2
152116,368847,2026 Q2
152117,272509,2026 Q2
152118,135060,2026 Q2
152121,210109,2026 Q2
152122,340372,2026 Q2
152123,359373,2026 Q2
152124,142809,2026 Q2
152128,363551,2026 Q2
152132,265951,2026 Q2
160001,10127608,2026 Q2
160002,11984462,2026 Q2
160003,10542188,2026 Q2
160009,11128721,2026 Q2
160011,10228554,2026 Q2
160012,9285162,2026 Q2
160014,8718049,2026 Q2
160015,11139279,2026 Q2
160017,12550131,2026 Q2
160018,13479792,2026 Q2
160019,12360285,2026 Q2
160020,17833240,2026 Q2
160022,14800700,2026 Q2
160023,11876469,2026 Q2
160025,9658708,2026 Q2
160030,14947424,2026 Q2
160036,11332311,2026 Q2
160043,12419418,2026 Q2
160047,11535259,2026 Q2
160055,10741685,2026 Q2
160059,11215283,2026 Q2
160062,10498687,2026 Q2
160071,11412930,2026 Q2
160101,9929079,2026 Q2
160102,9660502,2026 Q2
160103,7194276,2026 Q2
160104,6687354,2026 Q2
171001,1327435,2026 Q2
171002,1154075,2026 Q2
171003,1325629,2026 Q2
171004,1543740,2026 Q2
171005,1540039,2026 Q2
171006,915470,2026 Q2
171007,704650,2026 Q2
171008,1035727,2026 Q2
171009,1040493,2026 Q2
171010,1092415,2026 Q2
171011,688235,2026 Q2
171012,435011,2026 Q2
171013,770217,2026 Q2
171014,751494,2026 Q2
171015,692181,2026 Q2
171018,347849,2026 Q2
171019,60836,2026 Q2
171102,114734,2026 Q2
171103,293178,2026 Q2
171201,204010,2026 Q2
171202,76263,2026 Q2
171203,77456,2026 Q2
171204,77471,2026 Q2
171205,69198,2026 Q2
171206,78460,2026 Q2
171207,139481,2026 Q2
171208,4126,2026 Q2
171209,100372,2026 Q2
171210,36081,2026 Q2
171211,27017,2026 Q2
171212,137951,2026 Q2
171213,80085,2026 Q2
171214,48961,2026 Q2
171215,120629,2026 Q2
171216,98200,2026 Q2
171217,35581,2026 Q2
171218,504368,2026 Q2
171219,660954,2026 Q2
171220,90586,2026 Q2
171221,1876,2026 Q2
171222,180584,2026 Q2
171223,100810,2026 Q2
171224,60184,2026 Q2
171225,81282,2026 Q2
171226,29283,2026 Q2
171301,371135,2026 Q2
172001,113102,2026 Q2
172002,58977,2026 Q2
172021,43529,2026 Q2
172022,22198,2026 Q2
172023,118960,2026 Q2
172024,73345,2026 Q2
172025,70159,2026 Q2
172026,45357,2026 Q2
172027,77396,2026 Q2
172028,99858,2026 Q2
172029,94542,2026 Q2
172030,85840,2026 Q2
172031,81196,2026 Q2
172032,73826,2026 Q2
172033,104300,2026 Q2
172101,31925,2026 Q2
172102,48633,2026 Q2
172103,55114,2026 Q2
172104,31428,2026 Q2
172105,55400,2026 Q2
172106,3128,2026 Q2
172107,96769,2026 Q2
172108,103867,2026 Q2
172109,11371,2026 Q2
172110,12668,2026 Q2
172111,10788,2026 Q2
172112,11008,2026 Q2
172113,8378,2026 Q2
172114,9,2026 Q2
172115,17614,2026 Q2
172116,16293,2026 Q2
172117,118,2026 Q2
172118,13696,2026 Q2
172201,111539,2026 Q2
173001,147339,2026 Q2
173021,383431,2026 Q2
173022,104036,2026 Q2
173023,25672,2026 Q2
173024,53404,2026 Q2
173025,854880,2026 Q2
173026,300945,2026 Q2
173027,33129,2026 Q2
173029,53194,2026 Q2
173030,711339,2026 Q2
173031,308842,2026 Q2
173032,20805,2026 Q2
173033,100726,2026 Q2
173101,43784,2026 Q2
173104,31969,2026 Q2
