pincode,bank_branches_per_lakh,deposits_per_capita
210421,21.3,187840.0
735302,20.4,195833.0
389175,5.1,215816.0
441807,11.9,570000.0
470001,9.7,155068.0
224227,21.4,187840.0
431122,11.3,570000.0
D763704,19.3,220000.0
783360,14.9,220000.0
241001,19.9,187840.0
496111,12.2,220000.0
759123,13.8,220000.0
207001,19.5,187840.0
752002,13.7,220000.0
D195091,19.0,220000.0
D913218,16.7,220000.0
847224,17.5,220000.0
D780233,14.4,220000.0
272192,21.4,187840.0
D563785,5.4,220000.0
D622904,12.2,220000.0
D107542,4.4,220000.0
848505,17.4,220000.0
193502,20.8,220000.0
843314,17.7,220000.0
D688159,14.4,220000.0
D319295,18.1,220000.0
D579372,11.6,220000.0
D711895,19.1,220000.0
788161,11.0,220000.0
D214617,19.3,220000.0
D400421,21.0,220000.0
D903909,13.9,220000.0
755008,13.9,220000.0
D503810,14.4,220000.0
824231,17.7,220000.0
D189961,17.5,220000.0
D343352,12.3,220000.0
D511120,17.9,220000.0
212600,21.4,187840.0
821101,17.5,220000.0
284403,20.8,187840.0
D669852,17.9,220000.0
D193421,18.0,220000.0
D306068,9.9,220000.0
D942323,17.6,220000.0
271003,21.5,187840.0
D417644,6.3,220000.0
274001,21.3,187840.0
D428839,18.0,220000.0
274305,21.3,187840.0
D515353,17.6,220000.0
272175,21.3,187840.0
193224,20.8,220000.0
843329,17.7,220000.0
493551,12.3,220000.0
242307,19.2,187840.0
761111,13.6,220000.0
D334849,21.2,220000.0
D728012,5.2,220000.0
D171615,17.9,220000.0
497346,14.2,220000.0
D121313,10.7,220000.0
D270808,11.5,220000.0
848503,17.7,220000.0
D262167,16.7,220000.0
D686330,8.2,220000.0
D269102,21.3,220000.0
D469019,6.4,220000.0
D851774,17.7,220000.0
D280408,20.6,220000.0
768109,13.8,220000.0
D516565,8.4,220000.0
802136,17.7,220000.0
465223,12.3,155068.0
D502821,14.2,220000.0
D124782,17.9,220000.0
224122,21.4,187840.0
495004,12.8,220000.0
D505553,18.1,220000.0
D841188,12.2,220000.0
D734014,9.0,220000.0
803120,17.8,220000.0
D853079,18.1,220000.0
815315,17.3,220000.0
D211490,21.2,220000.0
D806886,5.1,220000.0
229001,21.4,187840.0
D350782,17.7,220000.0
D148606,18.0,220000.0
D693397,12.6,220000.0
754215,13.9,220000.0
425409,9.8,570000.0
D559316,20.7,220000.0
D889929,10.5,220000.0
497116,13.0,220000.0
D782578,18.8,220000.0
262122,18.6,187840.0
222501,21.2,187840.0
D734885,12.4,220000.0
243633,19.1,187840.0
D815885,9.0,220000.0
D167300,12.1,220000.0
D712176,17.2,220000.0
231310,19.8,220000.0
D216230,17.8,220000.0
D932553,13.2,220000.0
233001,19.2,220000.0
D441711,19.0,220000.0
814133,17.3,220000.0
460001,12.4,155068.0
D492353,17.7,220000.0
221201,21.2,187840.0
D752523,17.8,220000.0
D361537,14.6,220000.0
394710,6.0,215816.0
723101,19.6,195833.0
D179875,12.2,220000.0
D308156,20.6,220000.0
D521581,14.7,220000.0
D267960,16.2,220000.0
494661,12.8,220000.0
D778644,19.0,220000.0
D263669,16.0,220000.0
585323,40.5,320000.0
D280374,14.2,220000.0
D980667,12.2,220000.0
496225,12.8,220000.0
D847522,18.1,220000.0
D740403,7.6,220000.0
762014,13.6,220000.0
495668,12.8,220000.0
D898467,11.8,220000.0
814111,17.3,220000.0
D344259,10.2,220000.0
D680704,12.3,220000.0
D420466,12.0,220000.0
764073,13.5,220000.0
D529633,10.2,220000.0
D573435,16.6,220000.0
D577760,11.7,220000.0
515001,119.1,179847.0
515002,108.7,179847.0
515003,92.1,179847.0
515004,83.4,179847.0
515005,35.9,179847.0
515101,64.3,179847.0
515110,73.0,179847.0
515122,47.1,179847.0
515123,48.5,179847.0
515124,59.2,179847.0
515133,38.0,179847.0
515134,51.1,179847.0
515144,36.7,179847.0
515154,50.2,179847.0
515159,35.5,179847.0
515164,28.2,179847.0
515201,28.0,179847.0
515202,32.4,179847.0
515211,82.8,179847.0
515212,44.9,179847.0
515231,33.7,179847.0
515241,38.7,179847.0
515261,38.6,179847.0
515271,23.7,179847.0
515281,28.4,179847.0
515286,41.2,179847.0
515291,39.9,179847.0
515301,56.9,179847.0
515303,38.4,179847.0
515305,31.5,179847.0
515311,136.3,179847.0
515321,23.4,179847.0
515331,85.5,179847.0
515341,46.3,179847.0
515401,48.6,179847.0
515402,26.9,179847.0
515405,38.5,179847.0
515408,44.3,179847.0
515411,41.7,179847.0
515413,31.1,179847.0
515414,48.5,179847.0
515415,30.8,179847.0
515425,31.2,179847.0
515435,46.5,179847.0
515445,43.8,179847.0
