state,district,mpce_combined,mpce_rural,mpce_urban,mpce_p50,ppi_signal,survey_year,source
ASSAM,GOALPARA,4371.0,4168.0,6133.0,3847.0,13.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,SUPAUL,4366.0,4366.0,0,3934.0,13.6,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MEGHALAYA,WEST KHASI HILLS,4357.0,4189.0,9129.0,3631.0,13.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
WEST BENGAL,NADIA,4353.0,3973.0,5400.0,3360.0,13.5,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,BULANDSHAHR,4342.0,4016.0,5051.0,3866.0,13.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,GORAKHPUR,4341.0,3973.0,6309.0,3345.0,13.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,LAKHISARAI,4340.0,4308.0,5205.0,3589.0,13.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,NARSIMHAPUR,4338.0,4279.0,4551.0,3603.0,13.4,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,BALLIA,4331.0,4308.0,5615.0,3673.0,13.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,RAJGARH,4322.0,4185.0,5114.0,3171.0,13.3,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
BIHAR,BEGUSARAI,4316.0,4249.0,5163.0,3725.0,13.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,BAREILLY,4307.0,3344.0,5977.0,3361.0,13.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
MADHYA PRADESH,ANUPPUR,4301.0,3708.0,5512.0,3778.0,13.2,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
UTTAR PRADESH,RAMPUR,4294.0,4047.0,4606.0,3556.0,13.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,LAKHIMPUR,4292.0,4170.0,7315.0,3656.0,13.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,NAGAON,4288.0,4085.0,6744.0,3682.0,13.1,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ASSAM,MORIGAON,4273.0,4273.0,0,3755.0,13.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
ODISHA,NAYAGARH,4272.0,4272.0,0,3532.0,13.0,2023-24,HCES 2023-24 district fractile summary (GitHub/MoSPI)
