pincode,mpce_combined,mpce_rural,mpce_urban,hces_ppi,hces_district,hces_state
123102,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123103,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123110,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123301,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123302,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123303,5315.0,5370.0,4526.0,19.7,MAHENDRAGARH,HARYANA
123401,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
123411,5508.0,5388.0,5882.0,20.9,REWARI,HARYANA
124001,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124010,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124021,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124022,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124102,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124103,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124104,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124105,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124106,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124107,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124108,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124109,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124111,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124112,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124113,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124141,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124142,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124146,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124201,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124202,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124303,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124401,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124404,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124406,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124411,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124412,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124501,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124504,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124505,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124506,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124507,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124508,5664.0,5543.0,6260.0,21.9,JHAJJAR,HARYANA
124513,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
124514,7036.0,5214.0,8399.0,30.7,ROHTAK,HARYANA
125001,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125004,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125005,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125006,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125007,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125011,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125033,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125037,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125038,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125039,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125042,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125044,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125047,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125048,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125049,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125050,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125051,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125052,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125053,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125054,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125055,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125056,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125058,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125060,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125075,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125076,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125077,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125078,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125101,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125102,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125103,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125104,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125106,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125110,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
125111,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125112,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125113,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125120,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125121,5403.0,5450.0,5082.0,20.2,HISAR,HARYANA
125133,6077.0,6077.0,0.0,24.6,FATEHABAD,HARYANA
125201,8258.0,6970.0,11182.0,38.6,SIRSA,HARYANA
126101,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126102,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126110,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126111,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126112,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126113,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126114,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126115,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126116,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126125,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
126152,5437.0,5445.0,5278.0,20.4,JIND,HARYANA
127021,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127022,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127025,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127026,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127027,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127028,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127029,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127030,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127031,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127032,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127035,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127040,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127041,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127042,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127043,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127045,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127046,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127111,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127114,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127201,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127306,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127307,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127308,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127309,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
127310,8611.0,7587.0,11461.0,40.8,BHIWANI,HARYANA
131001,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131021,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131022,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131023,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131024,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131027,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131028,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131029,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131039,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131101,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131102,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131103,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131301,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131302,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131304,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131305,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131306,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131402,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131403,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
131408,6642.0,5386.0,7928.0,28.2,SONIPAT,HARYANA
