pincode,msme_per_lakh
127025,3033.74
127026,3033.74
127027,3033.74
127028,3033.74
127029,3033.74
127030,3033.74
127031,3033.74
127032,3033.74
127035,3033.74
127040,3033.74
127041,3033.74
127042,3033.74
127043,3033.74
127045,3033.74
127046,3033.74
127111,3033.74
127114,3033.74
127201,3033.74
127306,3033.74
127307,3033.74
127308,3033.74
127309,3033.74
127310,3033.74
131001,4577.86
131021,4577.86
131022,4577.86
131023,4577.86
131024,4577.86
131027,4577.86
131028,4577.86
131029,4577.86
131039,4577.86
131101,4577.86
131102,4577.86
131103,4577.86
131301,4577.86
131302,4577.86
131304,4577.86
131305,4577.86
131306,4577.86
131402,4577.86
131403,4577.86
131408,4577.86
131409,4577.86
132001,6834.19
132022,6834.19
132023,6834.19
132024,6834.19
132036,6834.19
132037,6834.19
132039,6834.19
132040,6834.19
132041,6834.19
132046,6834.19
132054,6834.19
132101,7262.9
132102,7262.9
132103,7262.9
132104,7262.9
132105,7262.9
132106,7262.9
132107,7262.9
132108,7262.9
132113,7262.9
132114,6834.19
132115,7262.9
132116,6834.19
132117,6834.19
132122,7262.9
132140,7262.9
132145,7262.9
132157,6834.19
133001,5817.38
133004,5817.38
133005,5817.38
133006,5817.38
133101,5817.38
133102,5817.38
133104,5817.38
133201,5817.38
133202,5817.38
133203,5817.38
133205,5817.38
133207,5817.38
133301,6480.88
133302,6480.88
134003,5817.38
134005,5817.38
134007,5817.38
134101,6480.88
134102,6480.88
134104,6480.88
134107,6480.88
134108,6480.88
134109,6480.88
134112,6480.88
134113,6480.88
134114,6480.88
134116,6480.88
134117,6480.88
134118,6480.88
134201,5817.38
134202,5817.38
134203,5817.38
134204,5817.38
134205,6480.88
136020,5511.8
136021,5511.8
136026,5511.8
136027,5511.8
136030,6972.91
136033,5511.8
136034,5511.8
136035,5511.8
136038,6972.91
136042,5511.8
136043,5511.8
136044,5511.8
136117,5511.8
136118,6972.91
136119,6972.91
136128,6972.91
136129,6972.91
136130,6972.91
136131,6972.91
136132,6972.91
136135,6972.91
136136,6972.91
136156,6972.91
140001,4680.48
140101,4680.48
140103,4680.48
140108,4680.48
140111,4680.48
140112,4680.48
140113,4680.48
140114,4680.48
140116,4680.48
140117,4680.48
140119,4680.48
140123,4680.48
140124,4680.48
140126,4680.48
140133,4680.48
140301,4680.48
140306,4680.48
140307,4680.48
140308,4680.48
140401,4325.51
140402,4325.51
140405,5708.44
140406,5708.44
140407,5708.44
140412,5708.44
140417,4325.51
140506,4325.51
140601,4325.51
140602,4325.51
140603,4325.51
140701,4325.51
140702,4325.51
140802,4325.51
141001,8244.06
141003,8244.06
141008,8244.06
141101,8244.06
141102,8244.06
141103,8244.06
141104,8244.06
141105,8244.06
141106,8244.06
141107,8244.06
141108,8244.06
141109,8244.06
141110,8244.06
141112,8244.06
141113,8244.06
141114,8244.06
141115,8244.06
141116,8244.06
141117,8244.06
141118,8244.06
141119,8244.06
141120,8244.06
141121,8244.06
141122,8244.06
141123,8244.06
141125,8244.06
141126,8244.06
141127,8244.06
141201,8244.06
141202,8244.06
141203,8244.06
141204,8244.06
141205,8244.06
141206,8244.06
141401,8244.06
141411,5708.44
141412,8244.06
141413,8244.06
141414,8244.06
141415,8244.06
141416,8244.06
141417,8244.06
141418,8244.06
141419,8244.06
141421,8244.06
141801,5708.44
142001,5845.58
142002,5845.58
142003,5845.58
142011,5845.58
142021,8244.06
142022,8244.06
142023,8244.06
142024,8244.06
142025,8244.06
142026,8244.06
142027,8244.06
142029,8244.06
142030,8244.06
142031,8244.06
142032,8244.06
142033,8244.06
142034,8244.06
142035,8244.06
142036,8244.06
142037,5845.58
142038,5845.58
142039,5845.58
142040,5845.58
142042,5845.58
142043,5845.58
142045,5845.58
142046,5845.58
142048,5845.58
142049,5845.58
142053,5845.58
142054,5845.58
142055,5845.58
142056,5845.58
142057,5845.58
142058,5845.58
143001,5512.97
143002,5512.97
143005,5512.97
143006,5512.97
143008,5512.97
143009,5512.97
143022,5512.97
143101,5512.97
143102,5512.97
143103,5512.97
143105,5512.97
143107,5512.97
143108,5512.97
143109,5512.97
143111,5512.97
143112,5512.97
143113,5512.97
143114,5512.97
143115,5512.97
143116,5512.97
143117,5512.97
143118,3431.93
143119,5512.97
143149,5512.97
143201,5512.97
143202,5512.97
143203,5512.97
143204,5512.97
143205,5512.97
143301,5512.97
143302,5512.97
143303,5512.97
143304,5512.97
143305,5512.97
143401,3431.93
143402,5512.97
143406,5512.97
143407,5512.97
143408,3431.93
143409,5512.97
143410,5512.97
143411,5512.97
143412,3431.93
143413,5512.97
143414,5512.97
143415,3431.93
143416,3431.93
143419,3431.93
143422,3431.93
143501,5512.97
143502,5512.97
143504,5512.97
143505,2678.66
143506,2678.66
143507,2678.66
143511,2678.66
143512,2678.66
143513,2678.66
143514,2678.66
143515,2678.66
143516,2678.66
143517,2678.66
143518,2678.66
143519,2678.66
143520,2678.66
143521,2678.66
143525,2678.66
143526,2678.66
143527,2678.66
143528,2678.66
143529,2678.66
143530,2678.66
143531,2678.66
143532,2678.66
143533,2678.66
143534,2678.66
143601,5512.97
143602,2678.66
143603,5512.97
143604,2678.66
143605,2678.66
143606,5512.97
144001,7154.98
144002,7154.98
144005,7154.98
144008,7154.98
144020,7154.98
144024,7154.98
144025,7154.98
144026,7154.98
144028,7154.98
144029,7154.98
144030,7154.98
144031,7154.98
144032,7154.98
144033,7154.98
144034,7154.98
144035,7154.98
144036,7154.98
144037,7154.98
144039,7154.98
144040,7154.98
144041,7154.98
144042,7154.98
144043,7154.98
144044,7154.98
144101,7154.98
144102,7154.98
144103,7154.98
144104,7154.98
144105,4376.69
144106,7154.98
144201,7154.98
144202,4376.69
144204,4376.69
144205,4376.69
144206,4376.69
144207,4376.69
144208,4376.69
144209,4376.69
144210,4376.69
144211,4376.69
144212,4376.69
144213,4376.69
144214,4376.69
144216,4376.69
144221,4376.69
144222,4376.69
144223,4376.69
144224,4376.69
144301,7154.98
144302,7154.98
144303,7154.98
144305,4376.69
144306,4376.69
144311,7154.98
144401,6058.45
144402,6058.45
144403,7154.98
144404,4376.69
144405,7154.98
144406,4376.69
144407,7154.98
144408,6058.45
144409,7154.98
144410,7154.98
144411,6058.45
144416,7154.98
144417,7154.98
144418,7154.98
144419,7154.98
144511,7154.98
144519,4376.69
144520,4376.69
144523,4376.69
144527,4376.69
144528,4376.69
144529,4376.69
144530,4376.69
144531,4376.69
144601,6058.45
144602,6058.45
144603,6058.45
144606,6058.45
144620,6058.45
144621,6058.45
144622,6058.45
144623,7154.98
144624,6058.45
144625,6058.45
144626,6058.45
144628,6058.45
144629,7154.98
144630,7154.98
144631,6058.45
144632,6058.45
144633,7154.98
144701,7154.98
144702,7154.98
144703,7154.98
144801,7154.98
144802,6058.45
144803,6058.45
144804,6058.45
144805,7154.98
144806,7154.98
144819,6058.45
145001,2678.66
145022,2678.66
145023,2678.66
145024,2678.66
145025,2678.66
145026,2678.66
145027,2678.66
145029,2678.66
145101,2678.66
146001,4376.69
146021,4376.69
146022,4376.69
146023,4376.69
146024,4376.69
146101,4376.69
146102,4376.69
146103,4376.69
146104,4376.69
146105,4376.69
146106,4376.69
146107,4376.69
146108,4376.69
146109,4376.69
146110,4376.69
146111,4376.69
146112,4376.69
146113,4376.69
