pincode,per_capita_income_karnataka
581304,160119.27272727274
581305,160119.27272727274
581306,160119.27272727274
581307,160119.27272727274
581308,160119.27272727274
581314,160119.27272727274
581315,160119.27272727274
581316,160119.27272727274
581317,160119.27272727274
581318,160119.27272727274
581319,160119.27272727274
581320,160119.27272727274
581321,160119.27272727274
581322,160119.27272727274
581323,160119.27272727274
581324,160119.27272727274
581325,160119.27272727274
581326,160119.27272727274
581327,160119.27272727274
581328,160119.27272727274
581329,160119.27272727274
581330,160119.27272727274
581331,160119.27272727274
581332,160119.27272727274
581333,160119.27272727274
581334,160119.27272727274
581335,160119.27272727274
581336,160119.27272727274
581337,160119.27272727274
581338,160119.27272727274
581339,160119.27272727274
581340,160119.27272727274
581341,160119.27272727274
581342,160119.27272727274
581343,160119.27272727274
581344,160119.27272727274
581345,160119.27272727274
581346,160119.27272727274
581347,160119.27272727274
581348,160119.27272727274
581349,160119.27272727274
581350,160119.27272727274
581351,160119.27272727274
581352,160119.27272727274
581353,160119.27272727274
581354,160119.27272727274
581355,160119.27272727274
581356,160119.27272727274
581357,160119.27272727274
581358,160119.27272727274
581359,160119.27272727274
581360,160119.27272727274
581361,160119.27272727274
581362,160119.27272727274
581363,160119.27272727274
581365,160119.27272727274
581384,160119.27272727274
581396,160119.27272727274
581400,160119.27272727274
581401,160119.27272727274
581402,160119.27272727274
581403,160119.27272727274
581411,160119.27272727274
581412,160119.27272727274
581421,160119.27272727274
581423,160119.27272727274
581440,160119.27272727274
581450,160119.27272727274
581453,160119.27272727274
582101,138769.16666666666
582102,138769.16666666666
582103,138769.16666666666
582111,138769.16666666666
582112,138769.16666666666
582113,138769.16666666666
582114,138769.16666666666
582115,138769.16666666666
582116,138769.16666666666
582117,138769.16666666666
582118,138769.16666666666
582119,138769.16666666666
582120,138769.16666666666
582201,155492.4
582202,138769.16666666666
582203,138769.16666666666
582204,138769.16666666666
582205,138769.16666666666
582206,138769.16666666666
582207,138769.16666666666
582208,155492.4
582209,138769.16666666666
582210,138769.16666666666
582211,138769.16666666666
583101,185653.0
583102,185653.0
