pincode,district,psu_branch_count
441305,NAGPUR,3
441306,NAGPUR,2
441401,NAGPUR,6
441404,NAGPUR,4
441405,NAGPUR,1
441408,NAGPUR,1
441409,NAGPUR,1
441501,NAGPUR,12
441502,NAGPUR,4
442110,NAGPUR,1
500002,NAGPUR,1
252454,NANDED,1
413713,NANDED,1
421731,NANDED,1
431601,NANDED,19
431602,NANDED,9
431603,NANDED,6
431604,NANDED,2
431605,NANDED,13
431606,NANDED,3
431704,NANDED,2
431707,NANDED,1
431708,NANDED,7
431709,NANDED,4
431710,NANDED,2
431711,NANDED,2
431712,NANDED,1
431714,NANDED,2
431715,NANDED,4
431717,NANDED,4
431718,NANDED,3
431719,NANDED,1
431731,NANDED,1
431736,NANDED,1
431745,NANDED,2
431750,NANDED,1
431801,NANDED,7
431802,NANDED,2
431803,NANDED,1
431804,NANDED,2
431805,NANDED,2
431806,NANDED,4
431807,NANDED,2
431808,NANDED,1
431809,NANDED,3
431811,NANDED,2
425409,NANDURBAR,11
425411,NANDURBAR,2
425412,NANDURBAR,19
425413,NANDURBAR,6
425414,NANDURBAR,7
425415,NANDURBAR,1
425416,NANDURBAR,2
425417,NANDURBAR,1
425418,NANDURBAR,5
425419,NANDURBAR,2
425422,NANDURBAR,2
425423,NANDURBAR,1
425425,NANDURBAR,1
425426,NANDURBAR,1
425442,NANDURBAR,1
425444,NANDURBAR,3
425452,NANDURBAR,1
426410,NANDURBAR,1
400202,NASIK,1
422001,NASIK,18
422002,NASIK,14
422003,NASIK,17
422004,NASIK,6
422005,NASIK,7
422006,NASIK,5
422007,NASIK,15
422008,NASIK,4
422009,NASIK,19
422010,NASIK,8
422011,NASIK,6
422012,NASIK,1
422013,NASIK,9
422101,NASIK,15
422102,NASIK,4
422103,NASIK,13
422104,NASIK,2
422105,NASIK,1
422106,NASIK,1
422109,NASIK,2
422112,NASIK,1
422201,NASIK,1
422202,NASIK,11
422203,NASIK,2
422204,NASIK,2
422205,NASIK,3
422206,NASIK,7
422207,NASIK,4
422208,NASIK,5
422209,NASIK,10
422210,NASIK,2
422211,NASIK,4
422212,NASIK,6
422213,NASIK,3
422215,NASIK,3
422222,NASIK,3
422301,NASIK,1
422302,NASIK,2
422303,NASIK,9
422305,NASIK,3
422306,NASIK,7
422308,NASIK,1
422401,NASIK,5
422402,NASIK,3
422403,NASIK,10
422501,NASIK,1
422502,NASIK,4
422606,NASIK,1
423012,NASIK,1
423101,NASIK,3
